dataset,oa,aa,k,target_size,algorithm,time,selected_features,selected_weights
ghisaconus,0.772,0.643,0.643,23,bsnet,0.0,2|15|29|31|32|34|35|38|39|49|52|56|67|70|82|83|91|92|94|95|99|103|116,0.4727769196033478|0.5379403829574585|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4704035222530365|0.47244521975517273
ghisaconus,0.774,0.643,0.643,24,bsnet,0.0,2|15|29|31|32|34|35|38|39|49|52|56|67|70|82|83|91|92|94|95|99|101|103|116,0.4727769196033478|0.5379403829574585|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4896757900714874|0.4704035222530365|0.47244521975517273
ghisaconus,0.773,0.643,0.643,25,bsnet,0.0,2|15|29|31|32|34|35|38|39|49|52|56|63|67|70|82|83|91|92|94|95|99|101|103|116,0.4727769196033478|0.5379403829574585|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.5215453505516052|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4896757900714874|0.4704035222530365|0.47244521975517273
ghisaconus,0.78,0.644,0.644,26,bsnet,0.0,2|13|15|29|31|32|34|35|38|39|49|52|56|63|67|70|82|83|91|92|94|95|99|101|103|116,0.4727769196033478|0.508541464805603|0.5379403829574585|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.5215453505516052|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4896757900714874|0.4704035222530365|0.47244521975517273
ghisaconus,0.788,0.66,0.66,27,bsnet,0.0,2|13|15|20|29|31|32|34|35|38|39|49|52|56|63|67|70|82|83|91|92|94|95|99|101|103|116,0.4727769196033478|0.508541464805603|0.5379403829574585|0.442436546087265|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.5215453505516052|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4896757900714874|0.4704035222530365|0.47244521975517273
ghisaconus,0.78,0.643,0.643,28,bsnet,0.0,2|13|15|20|29|31|32|34|35|38|39|49|52|56|63|67|70|82|83|91|92|94|95|99|101|103|116|126,0.4727769196033478|0.508541464805603|0.5379403829574585|0.442436546087265|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.5215453505516052|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4896757900714874|0.4704035222530365|0.47244521975517273|0.42961931228637695
ghisaconus,0.783,0.645,0.645,29,bsnet,0.0,2|13|15|20|29|31|32|34|35|38|39|49|52|56|63|67|70|82|83|91|92|94|95|99|101|103|116|117|126,0.4727769196033478|0.508541464805603|0.5379403829574585|0.442436546087265|0.5019431114196777|0.45881637930870056|0.4824197590351105|0.5164439082145691|0.5209493041038513|0.45301830768585205|0.5182114839553833|0.48426878452301025|0.5305528044700623|0.40609365701675415|0.5215453505516052|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.5263003706932068|0.4547828733921051|0.501053512096405|0.5324000716209412|0.4846445620059967|0.49876806139945984|0.4896757900714874|0.4704035222530365|0.47244521975517273|0.4767024517059326|0.42961931228637695
ghisaconus,0.734,0.613,0.613,13,bsnet,0.0,2|31|32|35|39|56|67|70|82|91|95|99|103,0.4727769196033478|0.45881637930870056|0.4824197590351105|0.5209493041038513|0.5182114839553833|0.40609365701675415|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.4547828733921051|0.4846445620059967|0.49876806139945984|0.4704035222530365
ghisaconus,0.733,0.636,0.636,12,bsnet,0.0,2|31|32|35|39|67|70|82|91|95|99|103,0.4727769196033478|0.45881637930870056|0.4824197590351105|0.5209493041038513|0.5182114839553833|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.4547828733921051|0.4846445620059967|0.49876806139945984|0.4704035222530365
ghisaconus,0.737,0.624,0.624,11,bsnet,0.0,2|31|32|35|39|67|70|82|91|99|103,0.4727769196033478|0.45881637930870056|0.4824197590351105|0.5209493041038513|0.5182114839553833|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.4547828733921051|0.49876806139945984|0.4704035222530365
ghisaconus,0.746,0.627,0.627,10,bsnet,0.0,2|31|32|35|39|67|70|82|99|103,0.4727769196033478|0.45881637930870056|0.4824197590351105|0.5209493041038513|0.5182114839553833|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.49876806139945984|0.4704035222530365
ghisaconus,0.713,0.594,0.594,9,bsnet,0.0,2|31|32|35|39|67|70|82|103,0.4727769196033478|0.45881637930870056|0.4824197590351105|0.5209493041038513|0.5182114839553833|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.4704035222530365
ghisaconus,0.719,0.591,0.591,8,bsnet,0.0,2|32|35|39|67|70|82|103,0.4727769196033478|0.4824197590351105|0.5209493041038513|0.5182114839553833|0.4377405047416687|0.5677629113197327|0.4972304105758667|0.4704035222530365
ghisaconus,0.707,0.599,0.599,7,bsnet,0.0,2|32|35|39|70|82|103,0.4727769196033478|0.4824197590351105|0.5209493041038513|0.5182114839553833|0.5677629113197327|0.4972304105758667|0.4704035222530365
